 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> novembre 19, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Sulfur in NIT.txt

 Ion = Sulfur [16] , Mass = 31,972 amu

 Target Density =  3,4400E+00 g/cm3 = 8,2898E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    010,02    043,26   
     Br     35    010,02    032,04   
      I     53    000,40    002,03   
      C      6    021,44    010,31   
      N      7    004,91    002,75   
      O      8    011,82    007,57   
      S     16    000,30    000,38   
      H      1    041,08    001,66   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   2,594E-01  1,269E+00     146 A        89 A        65 A   
  11,00 keV   2,721E-01  1,280E+00     157 A        95 A        70 A   
  12,00 keV   2,842E-01  1,289E+00     168 A       101 A        74 A   
  13,00 keV   2,958E-01  1,297E+00     179 A       107 A        79 A   
  14,00 keV   3,069E-01  1,302E+00     190 A       112 A        83 A   
  15,00 keV   3,177E-01  1,306E+00     201 A       118 A        87 A   
  16,00 keV   3,281E-01  1,310E+00     212 A       124 A        92 A   
  17,00 keV   3,382E-01  1,312E+00     223 A       130 A        96 A   
  18,00 keV   3,480E-01  1,313E+00     233 A       135 A       100 A   
  20,00 keV   3,668E-01  1,314E+00     255 A       146 A       108 A   
  22,50 keV   3,891E-01  1,312E+00     281 A       160 A       118 A   
  25,00 keV   4,101E-01  1,308E+00     308 A       173 A       128 A   
  27,50 keV   4,302E-01  1,303E+00     334 A       187 A       138 A   
  30,00 keV   4,493E-01  1,296E+00     361 A       200 A       148 A   
  32,50 keV   4,676E-01  1,288E+00     387 A       213 A       158 A   
  35,00 keV   4,853E-01  1,279E+00     414 A       226 A       167 A   
  37,50 keV   5,023E-01  1,271E+00     440 A       239 A       177 A   
