 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> novembre 19, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in NIT.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  3,4400E+00 g/cm3 = 8,2898E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    010,02    043,26   
     Br     35    010,02    032,04   
      I     53    000,40    002,03   
      C      6    021,44    010,31   
      N      7    004,91    002,75   
      O      8    011,82    007,57   
      S     16    000,30    000,38   
      H      1    041,08    001,66   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   2,339E-01  2,984E-01     304 A       214 A       164 A   
  11,00 keV   2,454E-01  2,931E-01     332 A       231 A       177 A   
  12,00 keV   2,563E-01  2,879E-01     360 A       248 A       191 A   
  13,00 keV   2,667E-01  2,830E-01     388 A       264 A       204 A   
  14,00 keV   2,768E-01  2,782E-01     416 A       281 A       217 A   
  15,00 keV   2,865E-01  2,736E-01     444 A       297 A       230 A   
  16,00 keV   2,959E-01  2,692E-01     472 A       313 A       243 A   
  17,00 keV   3,050E-01  2,649E-01     500 A       329 A       255 A   
  18,00 keV   3,139E-01  2,608E-01     527 A       344 A       268 A   
  20,00 keV   3,309E-01  2,531E-01     583 A       374 A       293 A   
  22,50 keV   3,509E-01  2,442E-01     653 A       411 A       323 A   
  25,00 keV   3,704E-01  2,360E-01     722 A       447 A       353 A   
  27,50 keV   3,890E-01  2,286E-01     792 A       482 A       382 A   
  30,00 keV   4,063E-01  2,217E-01     861 A       516 A       410 A   
  32,50 keV   4,224E-01  2,153E-01     930 A       548 A       438 A   
  35,00 keV   4,375E-01  2,094E-01     999 A       580 A       465 A   
  37,50 keV   4,517E-01  2,038E-01    1068 A       612 A       492 A   
