 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> novembre 19, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in NIT.txt

 Ion = Hydrogen [1] , Mass = 1,008 amu

 Target Density =  3,4400E+00 g/cm3 = 8,2898E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    010,02    043,26   
     Br     35    010,02    032,04   
      I     53    000,40    002,03   
      C      6    021,44    010,31   
      N      7    004,91    002,75   
      O      8    011,82    007,57   
      S     16    000,30    000,38   
      H      1    041,08    001,66   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   1,873E-01  3,090E-03    1250 A       665 A       577 A   
  11,00 keV   1,959E-01  2,927E-03    1355 A       695 A       608 A   
  12,00 keV   2,039E-01  2,785E-03    1459 A       723 A       637 A   
  13,00 keV   2,116E-01  2,658E-03    1560 A       749 A       665 A   
  14,00 keV   2,189E-01  2,544E-03    1660 A       773 A       692 A   
  15,00 keV   2,258E-01  2,441E-03    1758 A       796 A       717 A   
  16,00 keV   2,324E-01  2,348E-03    1854 A       817 A       742 A   
  17,00 keV   2,387E-01  2,263E-03    1949 A       838 A       765 A   
  18,00 keV   2,447E-01  2,185E-03    2042 A       857 A       787 A   
  20,00 keV   2,560E-01  2,046E-03    2226 A       893 A       830 A   
  22,50 keV   2,688E-01  1,899E-03    2449 A       934 A       879 A   
  25,00 keV   2,804E-01  1,775E-03    2667 A       970 A       924 A   
  27,50 keV   2,909E-01  1,668E-03    2879 A      1004 A       966 A   
  30,00 keV   3,005E-01  1,575E-03    3087 A      1034 A      1006 A   
  32,50 keV   3,091E-01  1,493E-03    3290 A      1063 A      1044 A   
  35,00 keV   3,170E-01  1,421E-03    3491 A      1089 A      1079 A   
